Title,Artist,Key,Chord 1,1,2,3,4,5,6,7,8,Chord 2,1,2,3,4,5,6,7,8,Chord 3,1,2,3,4,5,6,7,8,Chord 4,1,2,3,4,5,6,7,8
Love Me Like You Do,Ellie Goulding,Major,0,1,1,1,0,0,C,1,1,2,1,1,1,0,0,C,C,C,5,1,1,1,0,0,C,1,1,3,1,1,2,0,0,C,C,C
All Star,Smash Mouth,Major,0,4,C,2,C,2,C,C,C,4,1,C,0,C,0,C,3,C,1,C,C,2,C,2,C,1,C,3,1,C,0,C,C,C,0,C
All Star,Smash Mouth,Major,0,2,2,4,C,3,C,2,2,4,1,C,1,C,1,C,C,0,1,2,C,0,C,0,C,0,-2,3,0,C,0,C,-2,-3,C,C
All Star,Smash Mouth,Major,0,2,4,C,2,5,C,2,4,4,C,2,5,C,2,4,C,3,1,C,2,C,1,C,1,C,0,3,1,C,0,C,C,C,C,C
As Long As You Love Me,Backstreet Boys,Major,0,0,1,C,4,C,C,C,C,4,-1,1,C,4,C,C,C,C,5,-1,1,C,4,C,C,2,4,1,C,5,6,5,C,4,C,C
As Long As You Love Me,Backstreet Boys,Minor,0,4,3,3,2,2,1,1,-3,5,-2,C,4,3,C,C,C,-1,6,3,3,3,3,C,4,5,5,2,4,C,C,C,C,C,C,C
All That She Wants,Ace of Base,Minor,0,4,C,C,C,3,C,2,0,0,C,C,C,2,C,2,2,2,6,3,C,3,C,C,C,2,C,3,3,C,3,3,C,2,2,C
All That She Wants,Ace of Base,Minor,0,0,C,C,C,C,C,C,C,0,2,0,2,C,0,C,C,C,6,0,C,C,C,C,C,C,C,3,3,0,3,C,0,C,2,C
All That She Wants,Ace of Base,Major,0,4,C,0,C,0,C,4,4,0,4,C,0,0,C,C,4,2,6,3,C,3,C,3,C,2,3,3,C,2,1,0,C,C,0,C
Blue,Eiffel 65,Minor,0,2,C,-3,C,0,C,2,C,6,3,C,-1,C,1,C,2,C,5,C,C,0,C,2,C,4,C,3,5,C,0,C,4,C,3,C
Barbie Girl,Aqua,Minor,0,C,2,3,4,C,2,3,4,3,C,5,4,3,C,1,2,3,6,C,1,2,3,C,3,4,3,0,C,2,C,C,C,2,3,4
Barbie Girl,Aqua,Minor,0,4,C,2,C,4,C,7,C,3,5,C,C,C,C,C,C,C,6,3,C,1,C,3,C,6,C,2,4,C,C,C,3,C,2,C
Barbie Girl,Aqua,Minor,0,C,C,C,C,2,C,0,C,3,3,C,C,C,0,C,C,C,6,C,C,C,C,3,C,2,C,6,4,C,C,C,3,C,C,C
Firework,Katy Perry,Major,0,1,C,C,C,C,C,0,2,1,C,C,C,C,4,3,2,1,5,1,C,C,C,C,C,0,2,3,C,C,C,C,4,3,2,1
Firework,Katy Perry,Major,0,1,C,C,1,C,C,1,C,1,C,C,-3,-3,4,3,2,1,5,1,C,C,1,C,C,1,C,3,C,C,C,C,4,3,2,1
Firework,Katy Perry,Major,0,1,C,C,1,C,C,1,C,1,C,-3,-3,-3,4,3,2,1,5,1,C,C,1,C,C,1,0,3,C,C,C,C,C,C,C,C
Firework,Katy Perry,Major,0,2,C,C,C,C,C,1,3,1,C,C,C,C,C,C,2,4,5,C,C,C,C,C,3,3,4,3,5,C,C,C,C,C,6,7
Firework,Katy Perry,Major,0,C,C,2,4,4,2,2,C,6,C,C,1,1,1,0,0,C,5,C,C,0,1,1,0,0,C,3,C,0,0,0,1,2,2,C
Firework,Katy Perry,Major,0,C,C,4,7,7,4,4,C,6,C,4,4,4,5,7,7,C,5,C,C,4,7,7,4,4,4,3,5,4,4,2,5,4,4,C
I Want To Hold Your Hand,The Beatles,Major,0,4,3,2,C,C,C,2,4,4,2,C,1,C,C,C,C,C,5,C,2,2,2,2,C,2,-1,2,C,C,C,C,C,C,C,C
As Long As You Love Me,Justin Bieber,Minor,0,0,C,0,0,0,0,6,C,5,6,6,6,6,6,6,4,C,6,3,C,3,3,3,3,2,C,3,0,C,2,0,1,2,1,C
As Long As You Love Me,Justin Bieber,Minor,0,0,C,0,0,0,0,6,C,5,6,6,6,6,6,6,4,C,6,3,C,3,3,3,3,2,C,3,0,C,2,C,0,C,C,C
Where'd You Go,Fort Minor,Major,0,2,0,2,0,2,0,2,0,4,1,0,1,0,1,0,1,0,5,2,0,2,0,2,0,2,0,3,1,0,1,0,1,0,1,0
I'm Born To Run,American Authors,Minor,0,2,C,7,C,6,C,4,3,2,2,3,4,0,C,C,2,2,4,2,3,4,0,C,C,2,2,5,2,C,0,2,C,4,3,2
I'm Born To Run,American Authors,Minor,0,C,C,C,0,0,-1,2,C,2,C,C,C,3,3,4,2,C,4,C,C,C,C,3,2,3,C,5,C,C,C,3,4,2,0,-1
Harder Than You Think,Public Enemy,Major,0,0,C,C,C,C,C,C,1,4,C,C,C,C,-3,-2,0,1,1,C,C,C,C,C,C,2,5,5,C,C,C,C,C,C,C,4
Hello,Adele,Minor,0,3,4,C,C,C,C,C,C,2,C,C,C,C,C,3,C,3,6,C,C,C,C,C,C,C,C,5,C,C,C,C,2,C,C,3
Hello,Adele,Minor,0,C,C,4,4,C,C,4,4,2,C,C,3,3,C,C,2,3,6,C,C,4,3,C,C,0,2,5,C,C,C,C,2,4,C,4
Hello,Adele,Minor,0,C,C,3,2,C,C,C,C,2,C,C,C,C,3,3,3,3,6,C,C,4,C,C,C,C,C,5,C,C,4,C,4,C,4,4
Hello,Adele,Minor,0,C,C,4,4,C,C,4,4,2,C,C,3,2,C,2,2,3,6,C,C,2,3,C,2,2,C,5,C,C,0,C,C,C,C,3
Hello,Adele,Minor,0,0,C,0,C,2,C,2,C,5,3,C,3,C,4,3,C,C,2,C,C,C,4,3,C,2,C,6,C,C,C,C,C,C,0,C
Hello,Adele,Minor,0,C,C,3,4,C,C,2,C,5,C,2,0,-1,C,2,2,2,2,2,C,1,C,0,C,-1,C,6,C,-1,-1,C,6,C,3,2
Hello,Adele,Minor,0,2,C,3,4,C,C,C,C,5,C,C,C,C,C,C,6,C,6,C,C,C,C,5,4,C,5,2,4,C,C,C,C,3,2,2
Beats,AJR,Major,0,C,5,C,2,C,C,0,0,1,1,1,1,C,0,0,0,C,3,C,5,C,2,C,0,0,0,0,1,1,1,0,C,C,C,C
Broken,lovelytheband,Minor,0,C,2,C,2,2,C,-1,2,5,C,2,2,C,2,C,C,4,2,C,4,4,C,4,3,2,3,6,C,C,C,C,C,C,-1,2
Floats My Boat,Aer,Major,0,-3,C,2,2,2,1,0,1,1,C,C,1,1,1,0,-2,0,5,C,C,0,0,0,0,-2,0,5,C,-3,-3,-3,-3,-3,-2,C
The Motion,Drake,Minor,0,0,C,2,3,C,4,C,5,5,C,C,4,3,C,2,C,3,3,C,C,2,C,C,3,C,4,4,C,C,C,C,C,C,C,C
The Motion,Drake,Minor,0,4,4,4,3,3,C,C,2,5,3,3,3,2,2,C,C,0,3,3,3,3,2,2,2,2,3,4,3,3,3,2,2,C,C,0
The Motion,Drake,Minor,0,4,4,4,3,3,C,3,3,5,3,3,3,2,4,3,C,C,3,C,C,C,C,C,0,2,1,4,C,C,0,C,0,-3,1,C
The Motion,Drake,Minor,0,0,C,C,C,C,C,C,C,5,C,C,-1,C,1,C,C,C,3,-1,C,C,C,C,0,2,1,4,C,C,0,C,0,-3,1,C
The Motion,Drake,Minor,0,4,4,4,4,4,C,3,3,5,3,3,3,3,4,C,3,3,3,3,3,3,2,4,3,3,3,4,3,3,3,2,4,C,4,3
The Motion,Drake,Minor,0,4,C,3,2,4,C,3,3,5,3,3,3,2,4,C,3,3,3,3,3,3,2,4,2,3,3,4,3,3,3,2,4,C,3,3
The Motion,Drake,Minor,0,0,C,C,C,C,C,C,C,5,C,C,C,C,C,0,0,1,3,C,0,-1,-1,C,-3,-3,1,4,C,0,-1,-1,C,-1,-3,1
Prayer in C,Lilly Wood,Minor,0,2,C,C,2,4,3,3,2,3,2,2,2,2,4,3,2,3,6,3,C,C,2,4,3,2,3,3,3,3,C,C,C,C,C,C
Pompeii,Bastile,Major,0,C,7,4,C,7,4,C,6,4,C,6,4,C,6,4,C,6,2,C,6,4,C,6,4,C,5,1,C,5,4,C,5,4,C,7
Pompeii,Bastile,Major,0,-1,-1,1,C,C,C,C,C,4,-1,-1,1,C,C,C,-1,-1,2,C,C,C,-2,C,-3,C,-2,1,C,-1,C,C,C,C,C,C
Pompeii,Bastile,Major,0,4,C,4,C,4,2,1,4,4,C,C,4,4,6,5,4,5,2,4,C,3,C,2,C,4,3,1,C,C,C,C,C,C,1,C
Pompeii,Bastile,Major,0,0,C,-3,C,0,-3,-3,1,4,C,-1,C,-2,C,-3,C,1,2,C,-1,C,-2,C,-3,C,-2,1,C,-3,-3,-3,-1,C,-2,-3
Pompeii,Bastile,Major,0,7,7,7,7,7,7,7,4,4,7,C,6,C,C,C,4,C,2,7,7,7,7,7,7,7,4,1,7,C,6,C,C,5,C,4
Titanium,David Guetta,Major,0,C,C,C,-3,-3,-2,0,-1,4,C,C,C,C,C,C,-3,1,5,C,0,C,-1,C,0,C,-2,5,C,-2,C,0,C,C,C,C
Titanium,David Guetta,Major,0,C,C,C,4,4,5,7,6,4,C,C,C,4,4,5,2,C,5,C,C,1,C,2,C,1,3,5,C,2,C,1,C,2,C,0
Pumped Up Kicks,Foster The People,Minor,0,C,3,3,1,3,C,4,C,2,C,C,C,C,C,4,C,4,6,C,3,3,1,3,1,3,4,3,C,3,3,C,3,C,1,4
Pumped Up Kicks,Foster The People,Minor,0,C,3,3,C,3,6,4,C,2,C,C,C,C,C,C,C,C,6,4,3,3,1,3,C,1,3,3,4,3,C,3,C,3,3,4
Pumped Up Kicks,Foster The People,Minor,0,C,3,3,C,3,3,4,C,2,C,C,C,C,C,C,1,3,6,4,C,3,3,C,1,1,3,3,4,3,C,3,C,3,3,4
Cruise,Florida Georgia Line,Major,0,2,2,2,0,1,C,C,1,4,1,1,1,1,1,C,0,C,5,2,C,0,C,-2,C,C,-2,3,2,C,1,C,C,C,C,C
Trumpets,Jason Derulo,Major,0,5,C,C,C,C,C,4,4,3,C,C,C,C,0,C,1,C,5,C,C,1,C,C,C,C,C,4,C,C,C,C,7,C,6,C
Trumpets,Jason Derulo,Major,0,2,C,C,C,4,C,3,C,3,C,C,0,C,C,C,C,C,5,4,C,3,C,2,C,1,C,4,C,C,0,C,2,C,0,C
Trumpets,Jason Derulo,Major,0,0,C,0,C,-2,0,-2,-3,3,0,C,0,C,-2,0,-2,-3,5,0,C,0,C,-2,0,-2,-3,4,1,C,1,C,-3,-2,0,-2
Trumpets,Jason Derulo,Major,0,7,C,C,C,C,C,2,3,3,3,C,2,1,0,C,C,C,5,-3,2,1,0,1,0,1,C,4,1,C,C,C,6,5,6,C
