Title,Artist,Key,Chord 1,1,2,3,4,5,6,7,8,Chord 2,1,2,3,4,5,6,7,8,Chord 3,1,2,3,4,5,6,7,8,Chord 4,1,2,3,4,5,6,7,8
The Scientist,Coldplay,Minor,0,2,C,C,C,2,3,2,6,5,C,4,C,C,2,3,2,6,2,C,4,C,C,2,3,2,4,6,C,4,C,4,4,C,3,2
The Scientist,Coldplay,Major,0,-3,C,C,4,C,2,1,4,0,C,2,1,4,C,2,C,1,4,C,C,C,C,-1,1,1,-1,4,2,-1,-1,-1,-1,C,-2,-3
Am I Wrong,Nico & Vinz,Minor,0,2,C,C,C,2,C,C,C,5,6,C,C,C,4,C,C,C,2,3,C,C,C,2,C,C,C,6,C,C,C,C,C,C,C,C
Am I Wrong,Nico & Vinz,Minor,0,4,C,C,C,C,C,C,C,5,C,C,C,C,C,C,2,C,2,5,C,5,4,C,4,3,C,6,C,C,2,C,2,C,4,C
I'm Ready,AJR,Minor,0,C,C,0,C,4,C,3,C,5,2,C,1,C,0,C,-1,C,2,-2,C,C,C,C,C,C,C,6,C,C,C,C,C,C,C,C
Whistle,Flo Rida,Minor,0,2,C,2,C,0,C,-1,C,5,2,C,2,C,0,C,-1,C,2,2,C,C,3,C,C,3,C,6,C,C,1,C,1,C,1,C
Whistle,Flo Rida,Minor,0,7,C,7,C,6,C,6,C,5,4,C,4,C,3,C,2,C,2,4,C,C,6,C,C,4,C,6,C,C,1,1,1,C,1,C
Whistle,Flo Rida,Minor,0,2,C,2,C,0,C,-1,C,5,2,C,2,C,0,C,-1,C,2,C,C,C,C,C,C,C,C,6,3,C,C,1,C,C,2,C
GDFR,Flo Rida,Minor,0,4,3,C,3,3,C,3,2,2,4,C,C,C,C,0,0,0,6,4,3,C,3,3,C,3,4,5,0,C,C,C,C,C,C,C
Yeah,OMFG,Minor,0,0,C,4,C,3,C,2,C,5,2,C,0,C,3,C,2,C,2,C,C,6,C,4,C,2,C,6,3,C,1,C,4,C,3,C
Yeah,OMFG,Minor,0,4,C,7,C,7,C,4,C,5,5,C,0,C,7,C,5,C,2,C,C,6,C,6,C,4,C,6,3,C,1,C,6,C,4,C
Get Out,OMFG,Major,0,-3,C,1,C,1,-1,1,-1,4,C,C,1,C,1,-1,1,-2,1,C,C,-1,C,-2,-3,C,-2,2,C,C,-1,C,-2,-3,C,C
Get Out,OMFG,Major,0,-3,C,1,C,1,-1,1,-1,4,C,C,1,C,1,-1,1,5,1,C,C,4,C,2,1,C,2,2,C,C,4,C,5,4,C,C
Get Out,OMFG,Major,0,-3,C,C,C,2,C,C,C,4,1,C,C,C,-1,C,1,C,1,C,C,C,C,-1,C,C,C,2,-2,C,-1,C,-2,C,-3,C
Radioactive,Imagine Dragons,Minor,0,C,C,C,0,4,C,4,3,2,C,C,C,0,4,C,4,3,6,C,C,C,1,1,C,1,2,3,C,1,C,1,1,0,0,C
Radioactive,Imagine Dragons,Minor,0,0,-1,0,2,C,-1,0,3,2,0,-1,0,-3,C,0,3,0,6,0,-1,0,2,C,-1,0,3,3,0,-1,-3,2,C,-1,0,C
Radioactive,Imagine Dragons,Minor,0,0,C,7,C,7,C,6,C,2,6,C,6,C,4,C,0,0,6,0,C,6,C,6,C,6,C,3,5,C,5,C,3,C,C,C
Radioactive,Imagine Dragons,Minor,0,4,3,4,3,4,C,0,C,2,C,C,4,3,4,C,0,C,6,4,3,4,3,4,C,0,C,3,C,C,0,0,0,C,2,C
Radioactive,Imagine Dragons,Minor,0,C,4,3,2,3,C,0,C,2,C,4,3,2,3,C,0,C,6,C,6,6,6,5,C,5,C,3,C,5,5,5,4,C,4,C
Faded,Alan Walker,Minor,0,2,C,2,C,2,C,4,C,5,7,C,7,C,7,C,6,C,2,4,C,4,C,4,C,4,C,6,1,C,1,C,1,C,0,C
Faded,Alan Walker,Minor,0,C,2,2,0,2,0,2,3,5,4,C,2,2,-1,4,C,C,2,C,C,C,C,C,2,2,2,6,1,C,C,1,1,0,2,C
Faded,Alan Walker,Minor,0,4,C,2,C,2,C,4,C,5,7,C,7,C,7,4,6,4,2,4,C,4,C,4,C,4,C,6,1,C,1,C,1,4,4,4
Roxanne,Arizona Zervas,Minor,0,-3,C,C,C,C,C,1,C,3,0,-1,0,C,C,C,C,C,6,3,3,3,3,3,1,1,0,2,0,C,-1,C,C,C,1,C
Roxanne,Arizona Zervas,Minor,0,2,2,2,2,2,2,2,2,3,3,C,1,C,C,C,C,C,6,2,2,2,2,2,2,2,2,2,3,C,1,C,C,C,C,C
Roxanne,Arizona Zervas,Minor,0,3,C,2,C,1,C,2,1,3,0,C,C,C,2,2,2,2,6,3,2,1,1,1,C,2,1,2,0,C,C,C,2,2,2,2
Roxanne,Arizona Zervas,Minor,0,0,C,C,-1,-1,C,C,C,3,0,C,C,-1,-1,C,C,C,6,1,1,1,1,1,0,-1,-1,2,0,C,C,-1,-1,C,C,C
Oui,Jeremih,Minor,0,C,C,3,C,3,3,3,C,3,1,C,1,1,C,C,C,C,6,1,1,1,C,1,C,C,C,4,2,C,1,1,C,C,C,C
Oui,Jeremih,Minor,0,1,1,1,C,C,1,1,1,3,2,C,1,1,C,C,C,C,6,1,C,C,1,C,C,1,C,4,1,C,3,1,C,C,C,C
Oui,Jeremih,Minor,0,2,C,2,2,C,1,2,3,3,1,C,C,1,C,C,C,C,6,1,C,1,C,1,C,1,C,4,2,C,1,1,C,C,1,C
Oui,Jeremih,Minor,0,0,C,0,0,C,C,0,C,3,0,C,C,C,1,C,C,-3,6,2,C,2,2,C,C,2,C,4,2,C,1,C,0,C,6,C
Oui,Jeremih,Minor,0,1,C,C,0,C,C,C,-1,3,0,C,0,C,0,3,1,C,6,C,C,C,0,C,C,C,-1,4,0,C,0,C,0,3,1,C
Take On Me,a-ha,Minor,0,4,4,2,0,C,0,C,3,3,3,C,3,C,5,5,6,7,6,6,6,6,3,C,2,C,4,2,C,4,C,4,3,3,4,3
Take On Me,a-ha,Minor,0,2,C,C,2,C,1,0,C,3,C,C,C,C,C,C,C,C,6,1,1,C,1,C,-1,C,C,2,C,4,C,4,4,C,3,C
Take On Me,a-ha,Minor,0,2,C,C,2,2,1,C,0,3,C,C,C,C,C,C,C,0,6,1,C,2,1,C,0,C,-1,2,C,0,C,1,0,C,-1,C
Don't Stop Believin',Journey,Major,0,C,C,C,C,C,1,2,4,4,C,C,C,C,C,5,6,5,5,C,C,C,C,C,6,7,3,3,C,C,C,C,C,6,7,0
Don't Stop Believin',Journey,Major,0,C,C,C,C,C,1,2,4,4,C,C,C,C,C,5,6,2,5,C,C,C,C,C,6,2,3,3,C,C,C,C,C,6,7,0
Don't Stop Believin',Journey,Major,0,C,C,C,C,C,C,2,0,4,1,1,C,2,C,C,C,C,5,C,C,C,C,-1,0,0,0,3,4,C,4,2,C,0,C,C
Don't Stop Believin',Journey,Major,0,C,C,C,C,C,0,2,0,4,1,1,C,2,C,1,C,0,5,1,C,C,2,C,C,0,C,3,C,C,C,C,C,C,C,C
Bitter Sweet Symphony,The Verve,Major,0,C,C,2,C,4,C,2,C,4,3,C,1,C,3,C,C,C,6,6,C,3,C,6,C,C,C,3,5,C,3,C,5,C,C,C
Bitter Sweet Symphony,The Verve,Major,0,C,C,2,C,C,C,3,C,4,C,C,3,C,C,C,6,C,6,C,C,6,C,C,C,6,C,3,5,C,5,C,5,C,5,C
Bitter Sweet Symphony,The Verve,Major,0,2,C,C,C,2,C,C,C,4,3,C,3,C,3,C,3,C,6,6,C,6,C,6,C,6,C,3,C,C,5,C,C,C,5,C
Bitter Sweet Symphony,The Verve,Major,0,2,C,C,C,2,C,C,C,4,3,C,C,C,3,C,C,C,6,6,C,C,C,6,C,7,C,3,6,C,5,C,C,C,5,C
What is Love,Haddaway,Minor,0,2,1,2,0,2,1,2,0,2,2,1,2,-1,2,1,2,-1,4,1,0,1,-1,1,0,1,-1,6,1,0,1,-1,1,0,1,-1
What is Love,Haddaway,Minor,0,C,C,C,C,4,5,4,6,2,C,4,C,C,C,C,4,6,4,C,4,C,C,C,C,4,3,6,C,C,C,C,C,4,6,7
What I've Done,Linkin Park,Minor,0,7,C,C,C,C,C,C,2,2,6,C,4,C,2,C,C,C,6,C,C,6,C,6,C,4,C,3,7,C,C,C,6,C,C,C
Numb,Linkin Park,Minor,0,0,C,C,2,C,C,1,C,5,C,C,C,C,C,-3,-1,-3,2,2,C,C,1,C,C,-1,C,6,C,C,C,C,C,-3,-1,-3
Numb,Linkin Park,Minor,0,C,0,4,4,4,4,5,4,5,C,4,3,2,C,C,C,-1,2,4,4,3,2,C,3,C,-1,6,4,3,C,2,C,3,C,C
Numb,Linkin Park,Minor,0,0,C,C,0,0,C,-1,C,5,0,C,0,0,0,C,1,C,2,-1,C,0,0,0,C,-1,C,6,0,C,0,0,0,C,-1,C
Numb,Linkin Park,Minor,0,7,C,7,7,7,7,6,7,5,C,6,6,6,C,C,C,C,2,7,6,6,6,C,4,C,4,6,5,4,C,3,C,4,C,4
"Hey, Soul Sister",Train,Major,0,2,C,2,C,2,C,C,C,4,C,C,1,2,3,2,1,0,5,2,C,2,C,2,2,2,2,3,C,C,C,C,C,C,C,0
Dragostea Din Tei,O-Zone,Major,0,C,C,2,C,2,3,2,1,4,-1,C,C,C,4,6,5,4,1,1,C,C,C,1,5,4,3,2,4,3,2,C,4,C,3,4
Dragostea Din Tei,O-Zone,Major,0,C,C,2,C,2,3,2,1,4,-1,C,C,C,4,C,5,5,1,C,C,3,5,C,C,3,4,2,C,2,C,C,4,C,3,4
In The End,Linkin Park,Minor,0,0,C,4,C,4,C,2,C,6,1,C,1,C,1,C,1,2,5,0,C,4,C,4,C,2,C,6,1,C,1,C,1,C,1,2
So What,Pink,Major,0,0,C,0,C,C,-2,0,-2,2,0,C,-2,C,C,-2,0,-2,5,0,C,-2,C,C,-2,0,-2,3,0,C,C,C,1,C,C,C
So What,Pink,Major,0,C,C,C,C,C,0,0,2,2,C,C,C,C,C,0,0,2,5,C,C,C,C,C,0,0,-2,3,0,C,C,C,1,C,C,0
Just Dance,Lady Gaga,Minor,0,2,C,2,C,2,C,2,C,2,4,C,4,C,4,C,4,C,6,1,C,1,C,1,C,5,C,3,C,C,0,C,3,C,C,C
Just Dance,Lady Gaga,Minor,0,C,C,0,C,0,C,1,C,2,2,C,3,C,4,C,2,C,6,0,C,-1,C,C,C,3,C,3,C,C,2,C,C,C,0,C
